Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1911,6.0,0.3511,"entity, record, event, database, profile, item, records, ledger, response, trust",property contributors ledgers ownership communications degree Embodiments contribution processor content
1912,2.0,0.9239,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",vehicle collision history loss sensor VIN key memory accessing processes
1913,10.0,0.5603,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",structure application object management capabilities item structures person platform service
1914,11.0,0.8,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",workflow computer notification machine states subscribers storage message media programs
1915,3.0,0.8561,"image, object, input, target, feature, code, identification, result, parameter, images",iteration action policy selection execution device task herein apparatus environment
1916,10.0,0.8532,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",embodiments nodes participants transaction consistency properties ledger channels andor sharing
1917,10.0,0.5873,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",network fingerprint turn action sources identifier organizations risk actions individuals
1918,5.0,0.4699,"service, server, client, target, application, provider, response, identifier, access, result",authentication access request target server identification permission disclosure requests policy
1919,5.0,0.44,"service, server, client, target, application, provider, response, identifier, access, result",nodes interface server zone secure message proxy firewall node messages
1920,11.0,0.6258,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",ledger server trust timestamp signature computer herein media storage blocks
1921,0.0,0.6788,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",authentication entity transaction result computer response request node obtaining storage
1922,11.0,0.5847,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",transaction progression segment events records signature relation storage timeline record
1923,10.0,0.7864,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",consistency components interacting ledger purposes devices record latter messaging guarantees
1924,8.0,0.5928,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",communication network node processor module memory ledger copy cybersecurity record
1925,11.0,0.4793,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",reference signal structure type equipment processor operations resource list memory
1926,2.0,0.8027,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",power inverter controller address utility grid device drive signals remote
1927,1.0,0.5005,"content, file, document, media, hash, ID, ledger, metadata, software, container",element metadata instance parameters computer processor parameter embodiment template multimedia
1928,4.0,0.4785,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction recipient commitment node r_t combination scheme amount factor key
1929,2.0,0.6918,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",sensor vehicle receiving server thresholds sensors status correspond operation device
1930,3.0,0.3179,"image, object, input, target, feature, code, identification, result, parameter, images",application image entity authentication address images link request reverse search
1931,2.0,0.4407,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",processor interface vehicle monitoring driver device communication output insurance sensor
1932,7.0,0.7638,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",display slot shelf online products slots ranking attention priorities priority
1933,5.0,0.5512,"service, server, client, target, application, provider, response, identifier, access, result",browser site device payment task car interface entity space object
1934,5.0,0.523,"service, server, client, target, application, provider, response, identifier, access, result",response end device content request source network destination advertising servers
1935,8.0,0.5483,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",component components equipment record replacement store listing identification records requesting
1936,10.0,0.3962,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",plurality computer elements knowledge processor code storage program source bus
1937,3.0,0.5004,"image, object, input, target, feature, code, identification, result, parameter, images",plurality knowledge elements sources source graph insight compliance medium receiving
1938,10.0,0.591,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",learning sources plurality operation source destination inference environment key storage
1939,3.0,0.741,"image, object, input, target, feature, code, identification, result, parameter, images",character barcode string device image satisfies identification result pixels row
1940,7.0,0.9223,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",transceiver position wireless direction reference angle coordinates relation query location
1941,10.0,0.6682,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",subject consent pieces entity determine purposes processes identify management receipt
1942,4.0,0.7419,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",game asset verification assets sale online keys contract platform sales
1943,10.0,0.3846,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",address comprise infrastructure program health currency Genetic key storage service
1944,11.0,0.5187,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",dataset elements computer pairs classes codes representation records record extracts
1945,5.0,0.4077,"service, server, client, target, application, provider, response, identifier, access, result",target position portion identifier device database client request stores portions
1946,3.0,0.8911,"image, object, input, target, feature, code, identification, result, parameter, images",name plurality standard characters elements words response input similarity degree
1947,10.0,0.4849,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",ledger storage contract principles tools retrieval database management update chaincode
1948,11.0,0.6826,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",values device andor software vehicle memory integrity apparatuses ledger key
1949,11.0,0.5569,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",retirement pages memory errors herein embodiments RAM algorithms computer access
1950,9.0,0.6984,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",node nodes view N change sequence Q computer protocol messages
1951,5.0,0.4428,"service, server, client, target, application, provider, response, identifier, access, result",service integration file operation configuration specification parameter detail services pattern
1952,10.0,0.5584,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",platform computer cloud environment programs deployment apparatuses initialization herein media
1953,1.0,0.5807,"content, file, document, media, hash, ID, ledger, metadata, software, container",package transaction update ledger repository managers metadata match client authenticity
1954,3.0,0.5997,"image, object, input, target, feature, code, identification, result, parameter, images",target requirement language interface communication SDK processor disclosure medium candidate
1955,4.0,0.5997,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",item address server account service provider items determination mapping relationship
1956,10.0,0.5023,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",labels assignments confidence levels assignment datapoints datasets examples models inference
1957,10.0,0.3057,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",print contract advertisement space requests limits confirmation advertisements services service
1958,10.0,0.9285,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",robots synchronization tasks resources primitives establishment allocation times wait semaphores
1959,2.0,0.4986,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",energy store storage modeling Energy period subset elements sources element
1960,2.0,0.5732,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",game dance rhythm player location reality custom feature herein characters
1961,9.0,0.9765,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",nodes shareholder voting node plurality result group shares consensus share
1962,7.0,0.4321,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",device host radio client application receiver database transmitters relationship signals
1963,8.0,0.7716,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",IoT device job status location analytics storage database engine condition
1964,7.0,0.7405,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",output audio operator directionality spaces content transducer individuals applications profile
1965,8.0,0.4587,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",device telephone alias application server database share numbers operation identifying
1966,3.0,0.5787,"image, object, input, target, feature, code, identification, result, parameter, images",identification database transaction attack replay response candidate range obtaining validation
1967,8.0,0.3555,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",topology trust transaction diffuse nodes environment application articles storage apparatus
1968,0.0,0.9727,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",password management entity authority authentication device sending obtaining login match
1969,0.0,0.3124,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",authentication identity server lock broker application box agent functions control
1970,10.0,0.6376,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",reliability device devices associations amount combination path database order pairs
1971,10.0,0.5726,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",message platform conversation messages plurality concern delivery computer channels context
1972,8.0,0.5417,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",blocks instructions IoT device levels storage Things payload Internet priority
1973,6.0,0.8452,"entity, record, event, database, profile, item, records, ledger, response, trust",meeting processor candidate room request rooms needs parameters attendees receiving
1974,11.0,0.4029,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",certificate abstract storage identification computer transaction media programs apparatus nodes
1975,6.0,0.445,"entity, record, event, database, profile, item, records, ledger, response, trust",entity identification storage computer transaction apparatus programs marks nodes mark
1976,9.0,0.3353,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",root peer status validation peers notification shares plurality receives threat
1977,9.0,0.3368,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",member profile message members request identities exchange operation share consent
1978,0.0,0.781,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",device attestation end token management processor parties obtaining party record
1979,9.0,0.3379,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",nodes network segments group string encryption secure key character andor
1980,9.0,0.7937,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",random seed server device computation condition disclosure sever sets numbers
1981,0.0,0.4298,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",key master features ledger peertopeer network request payload distribution Features
1982,0.0,0.6898,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",certificate applications identity credentials PKI accounts key healthcare mapping owner
1983,10.0,0.6493,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",devices activity customer gaming memory embodiment service implementation requirements cost
1984,6.0,0.5185,"entity, record, event, database, profile, item, records, ledger, response, trust",event item engine status node party communications code storage unit
1985,10.0,0.518,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",ledger consensus fault client Heartbeat parties event host communication share
1986,5.0,0.5595,"service, server, client, target, application, provider, response, identifier, access, result",payment withholding transaction account complies rule verification response target node
1987,1.0,0.4555,"content, file, document, media, hash, ID, ledger, metadata, software, container",metadata unit LiDo units attributes threshold documents message messages document
1988,10.0,0.6679,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",circuit blocks direction simulation ledger design code plurality hardware level
1989,6.0,0.6306,"entity, record, event, database, profile, item, records, ledger, response, trust",access collector interactions Inputoutput repository medium monitoring viewing operation administrator
1990,3.0,0.3783,"image, object, input, target, feature, code, identification, result, parameter, images",image file application address web authentication client date device location
1991,10.0,0.5145,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",database manipulation transactions intruders network storage service ledger server computer
1992,8.0,0.4206,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",unit application enclave declaration instructions trust condition media apparatuses programs
1993,7.0,0.7746,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",evaluation locations identities address times consent device transaction Reliability consents
1994,5.0,0.616,"service, server, client, target, application, provider, response, identifier, access, result",link access request expression computer configuration storage service apparatus server
1995,3.0,0.4742,"image, object, input, target, feature, code, identification, result, parameter, images",address range account location result application period apparatus determination classification
1996,6.0,0.6306,"entity, record, event, database, profile, item, records, ledger, response, trust",transaction query validation phase items identification embodiments response phantom storage
1997,6.0,0.5356,"entity, record, event, database, profile, item, records, ledger, response, trust",vehicle processors event VIN ledger transaction transmitting generating server identifying
1998,8.0,0.6077,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",contract type indicator obtaining comprises bytecode node key storage service
1999,11.0,0.7438,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",storage N replacement sites devices movement erasure N1 failure case
2000,1.0,0.9649,"content, file, document, media, hash, ID, ledger, metadata, software, container",audio portions file teleconference files playback order operation timing devices
2001,7.0,0.7298,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",distance location range point search area subset operation target input
2002,8.0,0.7302,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",MFPs RF mesh characteristics mode MFP reception power storage compute
2003,10.0,0.4611,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",compliance rule service monitoring database monitor collection messages services engine
2004,10.0,0.474,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",client access bias game policy network completion entity request trust
2005,0.0,0.5182,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identity network request query scopes processor signal type interface authorization
2006,4.0,0.4519,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",account device ID devices login IP address corresponding internet identification
2007,5.0,0.3652,"service, server, client, target, application, provider, response, identifier, access, result",hashes network server traffic client database entities packet trust payloads
2008,0.0,0.7775,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",trait DSA trust identity witness homomorphism group knowledge key operation
2009,11.0,0.9304,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",blocks ledger computer trust signatures timestamps timestamped programs apparatus storage
2010,11.0,0.4095,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",key keys device transaction computer account apparatus storage service multiple
2011,3.0,0.6915,"image, object, input, target, feature, code, identification, result, parameter, images",dataset DNA indicative code biometric person sequence transaction test record
2012,9.0,0.5814,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",location message relay account medium transmission flag consensus protocol implementation
2013,8.0,0.3704,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",client memory device access card key storage contactless interaction transceiver
2014,0.0,0.955,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",permission entity identifier key authentication generation management identifiers request storage
2015,3.0,0.5777,"image, object, input, target, feature, code, identification, result, parameter, images",image master images storage corresponding device reference processor context determination
2016,10.0,0.3514,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",activity requirements token receiver performance proof crypto bespoke blocks instructions
2017,10.0,0.4217,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",participants plurality key authority protocol Access access second management handover
2018,8.0,0.5433,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",authentication network entity UE confirmation BRB core communication Broker registration
2019,10.0,0.5584,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",security acceleration features module implementation Hardware hardware chains software circuitry
2020,5.0,0.5017,"service, server, client, target, application, provider, response, identifier, access, result",transaction code protocol TEE type access processor execution environment attestation
2021,10.0,0.7834,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",services resources entities entity organizations exchange machines cost programs Platform
2022,8.0,0.6046,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",screen processor module applications modules application input display comprises programs
2023,2.0,0.5752,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",player gaming mode ledger game input response record validation session
2024,7.0,0.7208,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",view vehicle image position camera surround imaging changes control elements
2025,2.0,0.299,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",transactions vehicle contracts trigger VIN condition consensus activity indicative andor
2026,4.0,0.6246,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",contract portfolio buyer amount entity assets acceptance valuation rates confirmation
2027,11.0,0.9607,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",requests transaction list computer types attributes Matches midpoint matching discretion
2028,4.0,0.5002,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",shopping purchasing identity tag item disclosure tracker enabler transaction storage
2029,8.0,0.5978,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",enterprise contract subcontract smart beacon node logic ledger communications subcontracts
2030,5.0,0.3722,"service, server, client, target, application, provider, response, identifier, access, result",operation account instruction content node network response application contract client
2031,1.0,0.2611,"content, file, document, media, hash, ID, ledger, metadata, software, container",operation account instruction content node network response application contract client
2032,4.0,0.6661,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction amount message account identifier authorization fiat profile element risk
2033,10.0,0.5479,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",sessions communications server administration realtime validation contracts ledger requests messages
2034,10.0,0.5192,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",ledger requests shards implementations transactions verifiers scalability participant nodes bottlenecks
2035,10.0,0.8651,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",resource pool quantity hold transfer instruction register techniques condition message
2036,7.0,0.3738,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",target step matter audit device tracker monitoring embodiments storage provisioning
2037,3.0,0.6245,"image, object, input, target, feature, code, identification, result, parameter, images",integer inputs code cells polycode combination plurality communications values combinations
2038,11.0,0.5306,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",display series header code file identifying blocks software device Software
2039,3.0,0.8192,"image, object, input, target, feature, code, identification, result, parameter, images",word vector words entity plurality prediction stroke computer response text
2040,7.0,0.9219,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",Nodes communications sets positions array disparate communication position interface view
2041,7.0,0.7638,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",reality interest direction headgear collection interface cameras apparatus provision vector
2042,8.0,0.7697,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",enrichment environment contract solutions inquiry client conditions observers solvers smart
2043,0.0,0.8495,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",key pool enclave version ledger membership registry change cryptlet output
2044,9.0,0.7048,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",consensus node network transaction verification computer nodes storage list programs
2045,8.0,0.6737,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",hypervisor host node actions techniques run computer hardware hyperconvergence storage
2046,3.0,0.4671,"image, object, input, target, feature, code, identification, result, parameter, images",code dataset source service audit changes store software search developer
2047,11.0,0.5923,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",node blocks hash header nodes L period retention timestamp message
2048,2.0,0.3313,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",nodes textbook connectors content traversal interface paths items map custom
2049,10.0,0.4859,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",devices geofence web parameters area attributes location capabilities storage issue
2050,3.0,0.5455,"image, object, input, target, feature, code, identification, result, parameter, images",video event motion content stream device mark notification response clip
2051,10.0,0.4709,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",device object devices storage platform plurality pool software implementation provide
2052,5.0,0.7143,"service, server, client, target, application, provider, response, identifier, access, result",device client verification hosting condition First devices embodiment complies request
2053,0.0,0.5355,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",verification entity entities relationship addresses identity verifiers ledger Verification verifier
2054,11.0,0.408,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",transactions transaction node entries ledger processor computer payloads database plurality
2055,10.0,0.8266,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",platform nodes subjects entities transformation output outputs usage flows acquisition
2056,11.0,0.7743,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",ledger server trust timestamp request computer point herein blocks storage
2057,1.0,0.439,"content, file, document, media, hash, ID, ledger, metadata, software, container",contract version stamp validity schema counterparties node key storage service
2058,8.0,0.3035,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",requester device ledger command provision provider request key rate service
2059,0.0,0.6477,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",key binding identity blocks entities recipients transactions apparatus holder encryption
2060,10.0,0.3846,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",documents entity utility trust access request verification approval features solution
2061,8.0,0.4841,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",device signal token access response identifying circuitry reception processor indicating
2062,10.0,0.6747,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",security access protocol transactions owners examples applicationservice verification proof networking
2063,0.0,0.6077,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",shares plurality network interpolation ledger entry node zero transformation result
2064,9.0,0.4605,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",transaction request network node computer networks storage programs media apparatus
2065,11.0,0.7696,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",portion devices plurality database stores response store update Common device
2066,5.0,0.5933,"service, server, client, target, application, provider, response, identifier, access, result",subject sessions response query session target assessments disclosure states models
2067,2.0,0.6493,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",flight airspace schedule peer nodes region plan requests reservations network
2068,4.0,0.5217,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction recipient commitment node r_t combination scheme amount factor key
2069,9.0,0.8848,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",transaction nodes consensus abstract request node target verification sign determining
2070,0.0,0.8455,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",enclave payload counterparty payloads cryptlet contract Secrets plurality Validation storage
2071,4.0,0.5995,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",transaction template account card credit debit authentication request response conflicting
2072,7.0,0.7746,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",evaluation locations identities address times consent device transaction Reliability consents
2073,6.0,0.4203,"entity, record, event, database, profile, item, records, ledger, response, trust",experts content topic list veracity intelligence channel sources relevance reliability
2074,11.0,0.7827,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",nodes node computer devices leaf checksum checksums media storage blocks
2075,11.0,0.3776,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",node ledger entity snapshot states record objects file segment cache
2076,9.0,0.3368,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",nodes name owner transaction node blocks contents file managementsearch share
2077,11.0,0.8418,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",cache pages units IO identifying requests computer program plurality device
2078,9.0,0.7006,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",replicas view instances COMMIT certificate v type voting round BFT
2079,11.0,0.4473,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",repair ledger error token correction apparatuses content node key storage
2080,10.0,0.8239,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",machine connection devices management supply history lifecycle usage architecture functions
2081,7.0,0.4464,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",lock box access message device service property party signals cover
2082,11.0,0.6885,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",callers representatives customer service computer storage media apparatus programs node
2083,2.0,0.5771,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",vehicle sensor agent monitoring intercepting communication monitors activity integrity output
2084,0.0,0.5011,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",device identity authentication repository service list request behalf access devices
2085,9.0,0.2918,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",node relay key service response management computer signature result request
2086,9.0,0.308,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",network node transmission query logic path storage bid routing device
2087,8.0,0.5352,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",conference call recording networks ledger copies length date list nodes
2088,0.0,0.4369,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identities identity tokens transactions engines consent Digital seals owners documents
2089,9.0,0.5865,"node, nodes, message, consensus, group, messages, peer, transactions, operation, ledger",ledger maintenance node nodes signatures addition device embodiment subset apparatus
2090,6.0,0.288,"entity, record, event, database, profile, item, records, ledger, response, trust",content records receivers transaction distribution requests subscriber output computer enables
2091,0.0,0.5412,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identity authentication feature contract record result request node yes specification
2092,4.0,0.2658,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",recovery account response submitter challenge ownership period monitoring deposit escrow
2093,0.0,0.5427,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",authentication entity result computer transaction request node identifier storage apparatus
2094,6.0,0.3762,"entity, record, event, database, profile, item, records, ledger, response, trust",modification requirements signature request node response policies inclusion operation blocks
2095,10.0,0.6813,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",objects node embodiments management functions collection track container computer nodes
2096,11.0,0.6161,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",device submission command initiator queue controller storage queues space NVMeFC
2097,6.0,0.6903,"entity, record, event, database, profile, item, records, ledger, response, trust",modifications healthcare medicine modification workers decisionmaking verification algorithm consensus recordkeeping
2098,2.0,0.9257,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",video speed rate camera unit memory communication operations output settings
2099,8.0,0.3376,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",processor computer entitlement identifier individual facility receiving challenge authentication response
2100,3.0,0.5296,"image, object, input, target, feature, code, identification, result, parameter, images",reality perception identity identities profiles Techniques control profile categories arrangement
2101,6.0,0.3898,"entity, record, event, database, profile, item, records, ledger, response, trust",vehicle record transfer platform records financing identification ownership stores Vehicle
2102,11.0,0.4473,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",software transactions span plurality instance output instances identifier execution determination
2103,4.0,0.5664,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",buyer seller transactions SC PO confirmation RS messages authentication processes
2104,6.0,0.8307,"entity, record, event, database, profile, item, records, ledger, response, trust",event device plurality embodiments comprising storage specification apparatus generating submitting
2105,10.0,0.4248,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",P2P wallets examples lending loan registry machine service discovery mediums
2106,1.0,0.9543,"content, file, document, media, hash, ID, ledger, metadata, software, container",content ID device text attributes fonts retrieval identifier eye identifying
2107,8.0,0.7918,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",hardware accelerator message mining Bitcoin register processor core datapath summation
2108,4.0,0.9375,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",vault Bitcoin bitcoin email exchange addresses allows address computer transfer
2109,0.0,0.9024,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",server key ii authentication transaction hash registration database outputs d
2110,6.0,0.5262,"entity, record, event, database, profile, item, records, ledger, response, trust",consumer place entry elements transaction payload condition identification receiving ledger
2111,8.0,0.4521,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",contracts management asset contract infrastructure retrieval smart input assets access
2112,8.0,0.8694,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",die compute fabric storage circuit component device sensor components sensors
2113,1.0,0.7288,"content, file, document, media, hash, ID, ledger, metadata, software, container",subject verification item metadata provenance representation indicator image identification barcode
2114,6.0,0.4504,"entity, record, event, database, profile, item, records, ledger, response, trust",replacement ledger validation blocks peer thread operation peers access identifying
2115,2.0,0.4511,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",ASIC sensor sensors control security building inputs management humidity pressure
2116,6.0,0.4321,"entity, record, event, database, profile, item, records, ledger, response, trust",diagnosis file log rule plurality device apparatus files IoT stores
2117,6.0,0.8944,"entity, record, event, database, profile, item, records, ledger, response, trust",device database notification determination modification key storage service ledger server
2118,11.0,0.4017,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",database computer program transactions nodes access registration code invention approval
2119,8.0,0.3263,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",production edge event action record asset apparatus management storage program
2120,11.0,0.5678,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",message function notification workflow states computer execution response completion device
2121,10.0,0.5958,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",entity control secure ledger controlling entities identities termination introduction transfer
2122,7.0,0.5759,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",FPGA HMS NoC area image microservice house hardware comprising reconfiguration
2123,11.0,0.3366,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",source storage target device controller network devices cache portions replication
2124,10.0,0.4665,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",randomness ii article means structure chemical matter identity source bitwise
2125,1.0,0.8037,"content, file, document, media, hash, ID, ledger, metadata, software, container",build file manufacturing object lot material identifier media ledger hardware
2126,2.0,0.3322,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",vehicle service location authentication code network transmitting components need services
2127,0.0,0.531,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",assembly message hardware response identifier authentication respect validation vehicle node
2128,4.0,0.5185,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",platform logic tokens entities token pool award plurality wallet entity
